微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
ItAFes80J,言语之刃下的羽根,女,其他,311,690,言语之刃下的羽根:#保险杠急救中心[超话]# 打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 20:59,0,0,0
ItAFazZo8,颠簸小疯,男,北京,613,24890,颠簸小疯:#江苏十三太保支援孝感##伪劣口罩#  网上一片欢腾，江苏牛b，自豪满满。但是这种垃圾口罩怎么流到一线门诊的？ 这种伪劣口罩没腐败成份能过关简直见鬼了。 宿迁·沭阳县 http://t.cn/A6h7C4QK  显示地图 ,2020/2/10 20:59,0,0,0
ItAFaD60q,六哥腕表,男,江苏,529,4144,六哥腕表:#外省支援湖北对口支援表#不知道为啥，江苏做错了什么，总有些阴阳怪气的声音！不过我觉得江苏人民从不在意，我们有自己的目标，知道自己在做什么！江苏加油！武汉加油！  ,2020/2/10 20:59,0,0,0
ItAFaijcT,lanseluo,女,云南,77,100,lanseluo:#支援抗疫医疗废物处置#涓滴之水成海洋， 我在“支援抗疫医疗废物处置”项目捐款成功！携手@玺默爽颜，凝聚颗颗爱心点燃更多希望。@中华环境保护基金会 支援抗疫医疗废物处置  ,2020/2/10 20:59,0,0,0
ItAFalrEU,烈焰焚情-1984,男,天津,1776,1187,烈焰焚情-1984:【电影推荐】🎬《黑鹰坠落》，“黑鹰事件”是1993年美军在索马里执行军事行动时出现意外，由于情报有误，导致两架黑鹰直升机被RPG火箭筒击落。并引发了整个城市的人攻击美军。120名美军在激战数小时后在援军的支援下，大部分人成功返回基地。        当美军返回基地时，天已经快亮了。经过半天惨烈的战斗，美军死19人，被俘1人，伤70余人，两架直升机被击落，3架被击伤，数辆卡车和“悍马”车被击毁。这是越战以来美军所遭受的最为惨重的军事失败。@goodxy001 @空山晚秋537 [组图共6张] 原图 ,2020/2/10 20:59,3,0,1
ItAFa3LE7,2020向前冲a,女,其他,28,4,2020向前冲a:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 20:59,0,0,0
ItAF3eEND,咪咕体育,女,北京,686,4279546,咪咕体育:#国际米兰登上新闻联播##国际米兰登上央视##国际米兰逆转AC米兰#【一起战斗！国米主席张康阳向武汉捐赠30万只口罩】国际米兰足球俱乐部主席张康阳率俱乐部全体人员表示将向中国武汉紧急支援30万只口罩，全力支持武汉抗击新型冠状病毒感染肺炎疫情  [组图共9张] 原图 ,2020/2/10 20:59,12,4,2
ItAF2EcDq,久遇07337,男,其他,4,1,久遇07337:#支援抗疫医疗废物处置#与爱同路，让爱回家。我在“支援抗疫医疗废物处置”项目捐款成功！愿我和@偷亲一口瑾弋的鹿鹿 一起放大爱的力量！@中华环境保护基金会 支援抗疫医疗废物处置  ,2020/2/10 20:58,0,0,0
ItAF2kzxE,大美运城,男,山西,1509,8864,大美运城:【#外省支援湖北对口支援表#山西一对三 湖北，加油】近日，国家卫健委宣布建立16个省支援武汉以外地市的对口支援关系，全力支持湖北抗疫工作。支援并非“一对一”，具体对口支援关系是这样👇🏼山西来啦！武汉热干面加油  原图 ,2020/2/10 20:58,5,2,0
ItAF2mquy,温雄兴,男,广东,351,102,温雄兴:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 20:58,0,0,0
ItAF1bo1Z,法治德阳,男,四川,687,53237,法治德阳:#关注四川肺炎疫情# 【派900多人支援湖北，四川怎么办？省卫健委回应！】近日，有网友提出，四川先后向湖北派出了6支医疗援助队，共900多名骨干医护人员，会不会影响四川新型冠状病毒肺炎的医疗救治工作？对此，省委建委相关负责人表示，四川对新冠肺炎疫情做了充分准备，全省共设置了208家新冠肺炎定点收治医院，开放床位7000余张。截至2月9日24时，四川省累计报告新型冠状病毒肺炎确诊病例405例，除治愈出院和死亡外，其余全部正在住院隔离治疗，开放床位空置率还比较高。为进一步应对疫情，四川省已确定后备定点医院和储备医院54家、床位6000余张。 原图 ,2020/2/10 20:58,0,0,0
ItAF01Bb5,楼事南京,女,其他,51,89324,楼事南京:官宣！江苏对口支援黄石从国家卫生健康委获悉，省际对口支援湖北省武汉以外地市新型冠状病毒肺炎防治工作方案已经印发。考虑到实际情况，实际支援并非“一对一”，具体的对口支援关系如下：  原图 ,2020/2/10 20:58,1,2,1
ItAEZ6cul,叮叮很好,男,其他,152,26,叮叮很好:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 20:58,0,0,0
ItAEYvi7q,用户dw6robyotp,男,其他,1,0,用户dw6robyotp:湖南省对口支援湖北黄冈市 http://t.cn/A6hPTRXY  原图 ,2020/2/10 20:58,0,0,0
ItAEYuuMJ,Ada颖517,女,河南,141,201,Ada颖517:#江苏医疗队行李丢失#本来刚刚看完散装江苏的文章还乐呵乐呵，刷刷围脖就看见这消息？！我们这连小县城都派医生支援，去了就是这么接洽的？？？若是假的还好，各位勇士没受委屈。若是真的，拜托让我们的勇士回来，我们江苏自己宠着！气skr人  ,2020/2/10 20:58,11,0,2
ItAEXBab2,用户6122067506,男,陕西,13,5,用户6122067506:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 20:58,0,0,0
ItAEWs4As,下_一场雨,男,其他,239,3,下_一场雨:#武汉偷江苏救援物资#  江苏本身医疗资源现在就紧张 为了控制疫情小区封闭管理控制外地车辆还得被外地骂 从医疗支援到医院建设哪里对不起武汉了？ 为什么连医护人员的物资也要抢？  ,2020/2/10 20:58,0,0,0
ItAEWarWS,第622个琑,女,其他,666,19,第622个琑:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 20:58,0,0,0
ItAETrt1o,你好长沙,男,湖南,999,1235923,你好长沙:【#对口支援湖北地市对照表#来了】据中国之声记者从国家卫生健康委获悉，省际对口支援湖北省武汉以外地市新型冠状病毒肺炎防治工作方案已经印发。考虑到实际情况，实际支援并非“一对一”。具体对口支援关系， #外省支援湖北对口支援表# 山东、湖南支援的是黄冈；广东、海南支援的是荆州……  原图 ,2020/2/10 20:58,17,2,4
